voice_id,language,gender,name,preview_audio,support_pause,emotion_support,support_interactive_avatar
340db80b009349c3a0aa1ab21abb3a14,Urdu,Male,Asad - Natural,https://resource.heygen.ai/text_to_speech/qbUiGnDHZsZRhcQNERRLGG.wav,False,False,True
35f6b6ac010849d38cfc99dc25e0e4b3,Chinese,Male,WanLung -  Natural,https://static.heygen.ai/voice_preview/945d8ff1f30a45748aee607dd7ddf927.wav,False,False,True
36664759e6d141d78fe3244b8c3acc71,Spanish,Female,Mia - Professional,https://static.heygen.ai/voice_preview/3vs7RXHTyuD4YSDt63CYtR.wav,False,False,False
3729e0d85cec4e2f925b9e23913ac4f9,Catalan,Female,Arlet  - Natural,https://resource.heygen.ai/text_to_speech/FQDyt8dBXBVqyjRwvqcucM.mp3,False,False,False
37945e6f3b6744f4b379a3d3340ed422,Dutch,Female,Harriet - Natural,https://static.heygen.ai/voice_preview/FCoMqr49XxDbJ45Rnb2yRe.wav,False,False,False
37f7ef47d2b6498e8781e168979b10df,Spanish,Male,Tomas - Natural,https://static.heygen.ai/voice_preview/264c67b5de514049812d19bca886c5dd.wav,False,False,True
3833c2257836497e8d68c6a8578af579,English,male,Daran_inside_booth,https://resource.heygen.ai/text_to_speech/LroAB5AVeikaoNoKkyAouV.mp3,False,False,False
392eb53b771c4051951494c0e7fb36c9,Swedish,Female,Rita - Natural,https://static.heygen.ai/voice_preview/hCqrWb2FBxTYFcp9A4NvRe.wav,False,False,False
3b1633a466c44379bf8b5a2884727588,Chinese,Male,YunJhe - Natural,https://static.heygen.ai/voice_preview/7b043826fb284b5c98efda305fb3e184.wav,False,False,True
3b386ea3ffec4455a704367c52cea586,English,Female,Sophie_in_car_with_mic,https://resource.heygen.ai/text_to_speech/3KK5sgeeuxEkvxhS6Uh4tF.mp3,False,False,False
3c7e974c1f504a8cad52e5fa839defc4,English,male,tim_cafe,https://resource.heygen.ai/text_to_speech/og3GaPsvpXcKCFxDtxg67j.mp3,False,False,False
3e17ba521ba94ceab92838352644aba1,German,Male,Kasper - Newscaster,https://static.heygen.ai/voice_preview/2a411531e0a5410f824f2e9f9fb02fac.wav,False,False,True
3f126ed4b7204c2c9d3c8df84aa60346,German,male,Leon,https://static.heygen.ai/voice_preview/Dp7AAkZYWre2fg2FWJ2nQD.wav,False,False,False
3f224b0cb92d45328e5ccd93d3c2314e,English,Female,Emily - Natural,https://static.heygen.ai/voice_preview/ZA54eZdstL8XeZssreg9XT.wav,False,False,True
